trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.17999999999999947, 'e': 0.1826835240527346}",25,0,-22.351001876382135,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.17999999999999947, 'e': 0.17377394345044514}",30,6,21.644042995009375,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.17999999999999947, 'e': 0.16529888822158653}",30,4,32.61275213378036,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.17999999999999947, 'e': 0.1572371663136276}",20,10,12.875547343011831,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.17999999999999947, 'e': 0.14956861922263504}",20,10,5.3291327727189985,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.17999999999999947, 'e': 0.14227407158651353}",30,2,5.534548793781416,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
41,False,"{'a': 0.17999999999999947, 'e': 0.1353352832366127}",25,7,5.098911269982782,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.17999999999999947, 'e': 0.12873490358780418}",25,0,-23.785245986859156,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
43,False,"{'a': 0.17999999999999947, 'e': 0.1224564282529819}",25,11,24.914964478857488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.17999999999999947, 'e': 0.11648415777349697}",35,0,1.4383044966109826,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.17999999999999947, 'e': 0.11080315836233387}",25,11,24.440996582729593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.17999999999999947, 'e': 0.10539922456186433}",25,8,24.774487411610696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.17999999999999947, 'e': 0.1002588437228037}",30,13,19.069496106171357,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.17999999999999947, 'e': 0.09536916221554961}",25,8,16.022094504584167,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.17999999999999947, 'e': 0.09071795328941247}",20,9,17.32022730923433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.17999999999999947, 'e': 0.0862935864993705}",25,3,28.659114744304116,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
